file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0004_lidar_classes.ply,1,spherical,ball_pivoting,ok,,0.007409164992818576,0.008830779248333549,0.015346422106201471,0.01375772182791388,0.021166886820732457,2,0.9943342776203966,0.3822623745072942,0.7234516532047317,224,353,0.0028328611898017,1.8975402447020502,0.9971671388101983,0.021932832844875575,0.9785378919827651,0.5,0.7997891709994237
valve_0004_lidar_classes.ply,1,spherical,poisson,ok,,0.007862493682054635,0.009363097969288565,0.017438780341364944,0.016246152073943594,0.024108645755998227,18,0.9768847795163584,0.22412916415166265,0.8169072588782025,2906,5624,0.05778805120910384,6.18377148915904,0.9422119487908962,0.02325494238907096,0.9772735596714776,0.05555555555555555,0.6979870807240329
valve_0004_lidar_classes.ply,2,spherical,alpha_shape,ok,,0.006563824166024765,0.009738710441752674,0.02137939882623012,0.00904564476825633,0.015609468934281095,24,0.25139664804469275,1.4313709950255291,0.41129058545403113,126,179,0.0111731843575419,2.2394771718916067,0.9888268156424581,0.037821489490607395,0.9635568449163918,0.041666666666666664,0.6013352281698869
valve_0004_lidar_classes.ply,2,spherical,ball_pivoting,ok,,0.0037371251962357863,0.004174003828915927,0.0071656133525038615,0.008749187405115091,0.012486312601350878,1,1.0,0.2037689589735413,0.8307241954907228,153,280,0.010714285714285714,2.0567666562916807,0.9892857142857143,0.016210261398909347,0.9840483195115602,1.0,0.9510145573219994
valve_0004_lidar_classes.ply,2,spherical,poisson,ok,,0.0042509687397894996,0.004947001596763698,0.00941316346173416,0.009566433753821964,0.013817402493611464,8,0.991166978087311,0.13137461821729543,0.8838805324939124,3081,5887,0.04875148632580262,3.7452457191528135,0.9512485136741974,0.019212294073335575,0.9811498603528883,0.125,0.7353197266302496
valve_0004_lidar_classes.ply,3,tubular,alpha_shape,ok,,0.008103450380632886,0.01000318058161393,0.021882539665417793,0.008974072999388972,0.01707752338002186,71,0.15606936416184972,1.5209845643751467,0.3966704176341757,343,519,0.0019267822736030828,2.062134540243257,0.9980732177263969,0.024575531214226502,0.976013938977147,0.014084507042253521,0.5962105203449932
valve_0004_lidar_classes.ply,3,tubular,ball_pivoting,ok,,0.0064437062104246495,0.007334480025307089,0.012512072925590452,0.008589596681502274,0.015033302891926923,1,1.0,0.17095572954545346,0.8540032511632051,389,740,0.002702702702702703,1.8659961643131375,0.9972972972972973,0.018019143144667044,0.9822997993053394,1.0,0.9584000869414604
valve_0004_lidar_classes.ply,3,tubular,poisson,ok,,0.006364193599609624,0.007215263817518859,0.012169337976214105,0.009061857396712366,0.01542605099632199,1,1.0,0.09898161263145695,0.9099333314645272,1497,2901,0.04894863840055153,4.185946988228424,0.9510513615994485,0.017726256136196317,0.9825824910880316,1.0,0.9608917960380019
valve_0004_lidar_classes.ply,4,plane,alpha_shape,ok,,0.006590421277278364,0.007562419179527582,0.012640802359387113,0.010201116556581126,0.01679153783385949,3,0.9802158273381295,0.836985163577562,0.5443702104008733,272,556,0.007194244604316547,2.1560832050913707,0.9928057553956835,0.01771379536928718,0.9825945217114213,0.3333333333333333,0.7132759552103278
valve_0004_lidar_classes.ply,4,plane,ball_pivoting,ok,,0.005380479716501042,0.00709184801652099,0.01095805619863184,0.007932782831005595,0.013313262547506637,2,0.9894957983193278,0.5064986536828716,0.6637908354948368,294,476,0.0063025210084033615,1.9429414078954395,0.9936974789915967,0.016611555320130453,0.9836598794955665,0.5,0.7852870484955
valve_0004_lidar_classes.ply,4,plane,poisson,ok,,0.007843858827433152,0.010423105216117732,0.019010099554357226,0.011995773387924498,0.01983963221535765,5,0.9939617577993962,0.2320103158165567,0.8116815152941442,1585,2981,0.06071787990607179,4.73001452307404,0.9392821200939282,0.02441450923676426,0.9761673531401325,0.2,0.7317827471320513
valve_0004_lidar_classes.ply,5,complex,alpha_shape,ok,,0.004416564594098349,0.005674435567412187,0.008046005272751277,0.009386444894781779,0.013803009488880129,2,0.9787234042553191,0.783745818653486,0.5606179925090896,145,282,0.0,2.0154580299247233,1.0,0.02032636347830352,0.9800785668136509,0.5,0.7601741398306852
valve_0004_lidar_classes.ply,5,complex,ball_pivoting,ok,,0.0036843997908142163,0.0043567420702551925,0.008442315838963516,0.008438850899417961,0.012123250690232177,1,1.0,0.3095349257726024,0.763629881356557,155,279,0.0,1.7829870142484063,1.0,0.015606261071990582,0.984633551731438,1.0,0.9370658582719987
valve_0004_lidar_classes.ply,5,complex,poisson,ok,,0.00393874760987963,0.004710742818290826,0.007928657218720419,0.00889377694615654,0.01283252455603617,11,0.977728285077951,0.216573516015892,0.821980740855563,1462,2694,0.06941351150705272,7.37679041387259,0.9305864884929473,0.01687432514473943,0.9834056925939815,0.09090909090909091,0.7067205032128957
valve_0004_lidar_classes.ply,6,tubular,alpha_shape,ok,,0.010339720319205934,0.011990029000116031,0.020722957876768842,0.01046598464536297,0.020805704964568905,29,0.8711734693877551,0.817311173695434,0.5502634961334318,785,1568,0.0012755102040816326,2.0250343779516142,0.9987244897959183,0.014947480579321954,0.9852726561074963,0.034482758620689655,0.642185850164384
valve_0004_lidar_classes.ply,6,tubular,ball_pivoting,ok,,0.009729645922584611,0.011468113065429834,0.02242994637951942,0.008575490306638624,0.018305136229223237,1,1.0,0.38506865214349034,0.7219858730124534,839,1262,0.000792393026941363,1.7270573444628547,0.9992076069730587,0.01429682925081515,0.9859046890037355,1.0,0.9267745422473119
valve_0004_lidar_classes.ply,6,tubular,poisson,ok,,0.01137378219663844,0.012722795588244873,0.021068612555869812,0.026458313328323855,0.03783209552496229,1,1.0,0.2085332361192238,0.8274493163391564,2723,5313,0.05759457933370977,4.7104144806861745,0.9424054206662902,0.015860990825637945,0.9843866523383805,1.0,0.9385603473359567
valve_0004_lidar_classes.ply,7,complex,alpha_shape,ok,,0.004453982341255805,0.005132647430638013,0.00927400991305895,0.010487339636413953,0.014941321977669758,1,1.0,0.6615051958627838,0.601863901774151,145,301,0.0033222591362126247,2.090269666124447,0.9966777408637874,0.014491770319052962,0.9857152411256176,1.0,0.8960642209408889
valve_0004_lidar_classes.ply,7,complex,ball_pivoting,ok,,0.0038203591337783427,0.004634398624829123,0.007375747529762438,0.008089954326637812,0.011910313460416155,1,1.0,0.3636963311153857,0.7333010855738582,148,256,0.0,1.9279037504998826,1.0,0.013084990026211513,0.9870840155021219,1.0,0.930096275268995
valve_0004_lidar_classes.ply,7,complex,poisson,ok,,0.004999537026902797,0.006827895489228848,0.010648637367881922,0.010820405873678272,0.015819942900581068,3,0.9936733886911823,0.21607625658571847,0.8223168527339078,1340,2529,0.05970739422696718,4.666761513460681,0.9402926057730329,0.01927821743643562,0.9810864029990537,0.3333333333333333,0.769257298709832
valve_0004_lidar_classes.ply,8,complex,alpha_shape,ok,,0.004076084644347661,0.004963535789151076,0.008052293177430475,0.009210253366154055,0.013286338010501716,1,1.0,0.5071235598540677,0.6635156045844234,133,262,0.0,1.829106544244852,1.0,0.01462678027271192,0.9855840782471949,1.0,0.9122749207079046
valve_0004_lidar_classes.ply,8,complex,ball_pivoting,ok,,0.007274370696315492,0.009766417048926623,0.021365917400953737,0.009171097023930333,0.016445467720245827,1,1.0,0.6100534837191808,0.6210973797528927,138,159,0.0,1.781158163864059,1.0,0.028780136236460873,0.972024988408363,1.0,0.898280592040314
valve_0004_lidar_classes.ply,8,complex,poisson,ok,,0.005676301657046025,0.007608187722120487,0.015371080875288977,0.009570780066218823,0.015247081723264848,7,0.9783588818755635,0.27576438640884976,0.7838437964355636,1188,2218,0.07484220018034266,8.567117679825069,0.9251577998196574,0.02242016473986863,0.9780714763723649,0.14285714285714285,0.7074825538711822
valve_0004_lidar_classes.ply,9,tubular,alpha_shape,ok,,0.005626130173159218,0.006733780381324019,0.012775068233792711,0.009424225778837914,0.015050355951997132,2,0.9959758551307847,0.7775645714474346,0.5625674679067891,248,497,0.006036217303822937,2.1007596128864274,0.993963782696177,0.014305158918994847,0.9858965925656528,0.5,0.7606069607921547
valve_0004_lidar_classes.ply,9,tubular,ball_pivoting,ok,,0.00501119856818637,0.005763338121671557,0.009726269405186807,0.007980553821967067,0.012991752390153436,1,1.0,0.29985313210988823,0.7693176831268819,255,461,0.006507592190889371,1.9222393074502568,0.9934924078091106,0.012243563506031983,0.9879045281714364,1.0,0.9376786547768572
valve_0004_lidar_classes.ply,9,tubular,poisson,ok,,0.0063596083638624975,0.007242243938259552,0.012056075585276903,0.009403127885165653,0.01576273624902815,1,1.0,0.17880155111707663,0.8483192094991413,586,1086,0.06813996316758748,5.982693582389094,0.9318600368324125,0.01538533254726664,0.9848477892538886,1.0,0.9412567588963606
valve_0004_lidar_classes.ply,10,tubular,alpha_shape,ok,,0.004834411163651658,0.005462782789717269,0.009132529011215378,0.008805447004911282,0.01363985816856294,7,0.6157517899761337,0.8787426611745317,0.5322708749131353,222,419,0.0,1.9115568261666267,1.0,0.012114720918428065,0.9880302887923271,0.14285714285714285,0.6657895766406513
valve_0004_lidar_classes.ply,10,tubular,ball_pivoting,ok,,0.005380789559933935,0.006895788769718512,0.01618944735412991,0.007413628649517282,0.012794418209451217,1,1.0,0.2939667556757599,0.7728173816009368,223,320,0.0,1.659750071923267,1.0,0.015292674022262176,0.9849376692912818,1.0,0.9394387627230547
valve_0004_lidar_classes.ply,10,tubular,poisson,ok,,0.005388470745742994,0.0072251662144240175,0.00953373180352172,0.007793695218629708,0.013182165964372702,1,1.0,0.12143978643569688,0.89171082754102,477,854,0.040983606557377046,3.080220389255954,0.9590163934426229,0.01602312880566364,0.9842295629386913,1.0,0.9587391959805837
