file,label,n_points
valve_0046_lidar_classes.ply,0,1064
valve_0046_lidar_classes.ply,1,232
valve_0046_lidar_classes.ply,2,142
valve_0046_lidar_classes.ply,3,390
valve_0046_lidar_classes.ply,4,348
valve_0046_lidar_classes.ply,5,105
valve_0046_lidar_classes.ply,6,823
valve_0046_lidar_classes.ply,7,157
valve_0046_lidar_classes.ply,8,192
valve_0046_lidar_classes.ply,9,305
valve_0046_lidar_classes.ply,10,297
valve_0046_lidar_classes.ply,11,326
valve_0046_lidar_classes.ply,12,438
valve_0046_lidar_classes.ply,13,1046
valve_0047_lidar_classes.ply,0,934
valve_0047_lidar_classes.ply,1,224
valve_0047_lidar_classes.ply,2,180
valve_0047_lidar_classes.ply,3,371
valve_0047_lidar_classes.ply,4,298
valve_0047_lidar_classes.ply,5,148
valve_0047_lidar_classes.ply,6,757
valve_0047_lidar_classes.ply,7,247
valve_0047_lidar_classes.ply,8,237
valve_0047_lidar_classes.ply,9,236
valve_0047_lidar_classes.ply,10,322
valve_0047_lidar_classes.ply,11,354
valve_0047_lidar_classes.ply,12,547
valve_0047_lidar_classes.ply,13,1065
valve_0048_lidar_classes.ply,0,1043
valve_0048_lidar_classes.ply,1,255
valve_0048_lidar_classes.ply,2,155
valve_0048_lidar_classes.ply,3,353
valve_0048_lidar_classes.ply,4,302
valve_0048_lidar_classes.ply,5,129
valve_0048_lidar_classes.ply,6,774
valve_0048_lidar_classes.ply,7,214
valve_0048_lidar_classes.ply,8,223
valve_0048_lidar_classes.ply,9,239
valve_0048_lidar_classes.ply,10,290
valve_0048_lidar_classes.ply,11,413
valve_0048_lidar_classes.ply,12,568
valve_0048_lidar_classes.ply,13,1052
valve_0049_lidar_classes.ply,0,1073
valve_0049_lidar_classes.ply,1,240
valve_0049_lidar_classes.ply,2,153
valve_0049_lidar_classes.ply,3,361
valve_0049_lidar_classes.ply,4,330
valve_0049_lidar_classes.ply,5,148
valve_0049_lidar_classes.ply,6,880
valve_0049_lidar_classes.ply,7,188
valve_0049_lidar_classes.ply,8,110
valve_0049_lidar_classes.ply,9,220
valve_0049_lidar_classes.ply,10,278
valve_0049_lidar_classes.ply,11,372
valve_0049_lidar_classes.ply,12,449
valve_0049_lidar_classes.ply,13,1079
valve_0050_lidar_classes.ply,0,1062
valve_0050_lidar_classes.ply,1,260
valve_0050_lidar_classes.ply,2,151
valve_0050_lidar_classes.ply,3,378
valve_0050_lidar_classes.ply,4,294
valve_0050_lidar_classes.ply,5,183
valve_0050_lidar_classes.ply,6,782
valve_0050_lidar_classes.ply,7,152
valve_0050_lidar_classes.ply,8,210
valve_0050_lidar_classes.ply,9,316
valve_0050_lidar_classes.ply,10,277
valve_0050_lidar_classes.ply,11,405
valve_0050_lidar_classes.ply,12,541
valve_0050_lidar_classes.ply,13,951
valve_0051_lidar_classes.ply,0,1068
valve_0051_lidar_classes.ply,1,244
valve_0051_lidar_classes.ply,2,158
valve_0051_lidar_classes.ply,3,397
valve_0051_lidar_classes.ply,4,319
valve_0051_lidar_classes.ply,5,129
valve_0051_lidar_classes.ply,6,808
valve_0051_lidar_classes.ply,7,204
valve_0051_lidar_classes.ply,8,130
valve_0051_lidar_classes.ply,9,268
valve_0051_lidar_classes.ply,10,255
valve_0051_lidar_classes.ply,11,314
valve_0051_lidar_classes.ply,12,501
valve_0051_lidar_classes.ply,13,1166
valve_0052_lidar_classes.ply,0,1052
valve_0052_lidar_classes.ply,1,217
valve_0052_lidar_classes.ply,2,175
valve_0052_lidar_classes.ply,3,354
valve_0052_lidar_classes.ply,4,319
valve_0052_lidar_classes.ply,5,167
valve_0052_lidar_classes.ply,6,751
valve_0052_lidar_classes.ply,7,158
valve_0052_lidar_classes.ply,8,130
